question,answer,category
"What does the director dashboard show?","The director dashboard gives program-level visibility into patient progress, insurance status, clinical completion, and overall workflow trends.","dashboard"
"How can I monitor patients waiting on insurance clearance?","Review patients with insurance status marked as not clear or pending. These patients may need follow-up from coordinators or additional documentation.","insurance"
"What does patient progress mean at the program level?","Patient progress shows how far patients have moved through required clinical checklist items, insurance clearance, specialist assignment, and readiness for next steps.","progress"
"How do I identify bottlenecks in the bariatric workflow?","Look for repeated delays in insurance clearance, incomplete clinical checklist items, missing consults, or patients with no recent status updates.","workflow"
"What reports are useful for program leadership?","Useful reports include number of active patients, patients by insurance status, average checklist completion, patients awaiting specialist assignment, and patients delayed by missing requirements.","reporting"
"Can a program director update patient clinical status?","Program directors may have oversight access depending on system permissions, but routine patient status updates are usually handled by coordinators.","permissions"
"What should I do if many patients are stuck at the same stage?","Review whether the delay is caused by insurance, missing documents, incomplete labs, or staffing capacity, then coordinate with the care team to resolve the bottleneck.","workflow"
"What is the purpose of notifications in the program?","Notifications keep patients informed when their insurance status, clinical checklist, or care progress changes. They also support communication transparency.","notifications"
"What does not clear insurance status mean for leadership?","A not clear insurance status means the patient cannot move forward until insurance issues are resolved or alternative payment options are reviewed.","insurance"
"How should directors use AI assistant responses?","AI responses should be used as workflow support only. Program directors should verify important decisions using official records, policies, and care team judgment.","ai_usage"
"What is the overall program approval rate?","The approval rate reflects the percentage of patients who receive insurance pre-authorization approval. Track this in the director dashboard to identify trends and bottlenecks in the program pipeline.","reporting"
"How many patients are currently in pre-authorization?","Pre-authorization volume can be tracked by filtering patients by insurance status. The director dashboard provides a summary view of all active cases by status.","reporting"
"What is the average time from intake to surgery approval?","The typical timeline from initial BMI evaluation to surgery approval ranges from 3 to 12 months depending on insurance requirements, clinical readiness, and specialist availability.","timeline"
"How do I monitor coordinator workload?","Coordinator workload is reflected by the number of active patients assigned per coordinator. Review patient distribution regularly to ensure balanced caseloads across the team.","workflow"
"What metrics should I track for program performance?","Key metrics include insurance approval rate, average pre-auth timeline, patient dropout rate, specialist assignment time, and clinical checklist completion rate.","reporting"
