question,answer,category
"What does insurance status 'clear' mean?","Your insurance has been verified and approved for the bariatric program. Your care coordinator will contact you about next steps.","insurance"
"What does insurance status 'not clear' mean?","Your insurance verification is still pending or there may be issues that need to be resolved. Your coordinator is working on this and will update you soon.","insurance"
"What does 'self pay' mean?","Your program will be funded out of pocket without insurance coverage. Your coordinator can provide payment plan information.","insurance"
"How long does insurance verification take?","Insurance verification typically takes 5-15 business days depending on your provider. Your coordinator will notify you as soon as it is complete.","insurance"
"What is pre-authorization?","Pre-authorization is approval from your insurance company confirming they will cover your bariatric surgery. It is required before scheduling your procedure.","insurance"
"What is a Bariatric Surgeon?","A Bariatric Surgeon is a specialist who performs weight loss surgeries such as gastric bypass and sleeve gastrectomy. They will be your primary surgical provider.","specialist"
"What is an Obesity Medicine Specialist?","An Obesity Medicine Specialist focuses on non-surgical treatment of obesity including medication and lifestyle changes. They may be part of your care team.","specialist"
"What is an Endoscopic Obesity Specialist?","An Endoscopic Obesity Specialist performs minimally invasive procedures for weight loss without traditional surgery.","specialist"
"What does 'Not Eligible' mean for specialist?","Based on your current evaluation, you do not meet the criteria for specialist referral at this time. Your coordinator can explain the specific requirements.","specialist"
"What BMI is required for bariatric surgery?","Generally a BMI of 28 or higher with obesity-related conditions, or 40 or higher without conditions is required. Your care team will evaluate your specific situation.","eligibility"
"What happens after my BMI is calculated?","Your BMI is reviewed by the care team. If eligible, you will move to the insurance verification stage. If not eligible, your coordinator will discuss alternative options.","eligibility"
"How do I check my program status?","You can view your current status including insurance verification and specialist assignment directly in your patient portal dashboard.","portal"
"How long does the full bariatric program take?","The timeline varies but typically ranges from 3 to 12 months from initial evaluation to surgery approval, depending on insurance requirements and your individual progress.","timeline"
"What documents do I need for the program?","Typically you will need insurance cards, photo ID, medical history, primary care physician referral, and documentation of previous weight loss attempts.","documents"
"Will I be notified of status changes?","Yes, you will receive notifications in your patient portal whenever your coordinator updates your insurance status, specialist assignment, or clinical information.","notifications"
"What is the next step after insurance is cleared?","After insurance is cleared, your coordinator will schedule you with your assigned specialist for your initial consultation.","next_steps"
"Can I contact my coordinator directly?","Yes, you can reach your care coordinator through the patient portal messaging system or by contacting the program office directly.","contact"
"What clinical requirements are needed?","Clinical requirements vary but typically include psychological evaluation, nutritional counseling, cardiac clearance, and documentation of supervised diet attempts.","clinical"
"What is the difference between gastric bypass and sleeve gastrectomy?","Gastric bypass reroutes the digestive system while sleeve gastrectomy removes a portion of the stomach. Your surgeon will recommend the best option based on your health profile.","surgery"
"Is bariatric surgery covered by insurance?","Many insurance plans cover bariatric surgery when medical necessity criteria are met. Your coordinator handles the verification and pre-authorization process for you.","insurance"
